screen_name,user_tweeted,user_retweeted,user_favourited,user_replied,likes_per_tweet,retweets_per_tweet,lists_per_user,follower_friend_ratio,tweet_frequency,favourite_tweet_ratio,age_of_account_in_days,sources_count,urls_count,cdn_content_in_kb,source_identity
0128tktk, 6, 14, 4694.95, 16, 0.0, 0.0, 0.01578931261549564, 1.3599620348717518, 65.1404460641978, 0.0, 1697.3250578703703, 1, 14, 2.7660877203396397,[2]
01yu_nagi, 14, 2, 44127.0625, 6, 0.0, 0.0, 0.007821309440212053, 1.2804880976069903, 41.262682331955524, 0.0, 1396.1383217592593, 2, 2, 31.606511913802315,[2;0]
0405_jwest, 18, 38, 9972.892857142857, 51, 0.0, 0.0, 0.09493329263626857, 1.3380739895364362, 128.17667440224096, 0.0, 60.68292824074074, 3, 31, 164.3442916528103,[2;0]
0578K, 22, 9, 29072.58064516129, 24, 0.0, 0.0, 0.0678577677796142, 1.0178915057691929, 88.3385485801446, 0.0, 965.4779398148148, 2, 8, 30.112112816101845,[2;0]
0cNAmS2t0jncEjp, 18, 7, 79612.44, 13, 0.0, 0.0, 0.028688029901598962, 1.1801996062481181, 52.54587600183473, 0.0, 489.5024768518519, 1, 5, 162.6395039142871,[2]
14ca3911ca384a1, 4, 0, 315.0, 0, 0.0, 0.0, 0.0020352893042787324, 1.0492783099191527, 6.320661343004837, 0.0, 493.7238310185185, 1, 4, 0.6380084982938266,[0]
197355Fer, 0, 32, 36404.375, 32, 0.0, 0.0, 0.032926129406347426, 0.30017159695133566, 21.732564515123045, 0.0, 846.6943634259259, 1, 31, 42.99588679520586,[2]
1987Reiko, 55, 15, 10798.457142857143, 15, 0.0, 0.0, 0.04490352517708303, 1.0798742240371701, 172.7961625641681, 0.0, 423.3179861111111, 1, 21, 25.509091267439793,[2]
1RRMN, 1, 47, 83.35416666666667, 47, 0.0, 0.0, 0.002718471286244006, 1.3264269844290346, 44.470513222013416, 0.0, 1100.5854976851851, 1, 14, 0.07573620299557096,[2]
1jedi2, 15, 1, 1687.4375, 15, 0.0, 0.0, 0.023269739611303138, 0.45811376032314943, 26.45882083777485, 0.0, 2083.142152777778, 3, 16, 0.8100443350684814,[0;2]
2105nagao, 12, 4, 160.1875, 13, 0.0, 0.0, 0.05023131009346119, 1.7133956865835835, 59.225397044707506, 0.0, 333.0614699074074, 2, 4, 0.48095476202796095,[2;1]
21_kissmari, 6, 11, 3218.4117647058824, 14, 0.0, 0.0, 0.0030033124785589747, 3.1486688676212506, 13.03064213218772, 0.0, 1325.8765046296296, 1, 9, 2.4273842650261863,[2]
24TRIBE_3951, 1, 10, 4261.454545454545, 11, 0.0, 0.0, 0.008566317671643, 0.6588245489739486, 10.165853805052132, 0.0, 690.9175810185185, 1, 8, 6.167818944732174,[2]
26bdd4a3bd38449, 9, 0, 31.555555555555557, 1, 0.0, 0.0, 0.002139997200689872, 0.5574585955898271, 4.921562121754047, 0.0, 467.2534606481481, 1, 7, 0.06753412914648815,[2]
2_Raaaays, 2, 0, 5637.0, 0, 0.0, 0.0, 0.0013170801727001317, 1.1829855769627686, 43.76425516295873, 0.0, 1509.2869444444448, 1, 0, 3.7348762743554573,[2]
2l00l5, 73, 0, 0.0, 0, 0.0, 0.0, 0.026906314888881545, 1.1289635189057865, 162.5184033373101, 0.0, 1781.426574074074, 1, 73, 0.0,[4]
305_shahd, 15, 0, 51.0, 0, 0.0, 0.0, 0.0, 0.5184240969682948, 11.226370214845954, 0.0, 1350.3661574074074, 3, 15, 0.03776753417600144,[0]
365GettinIt, 4, 15, 12693.631578947368, 16, 0.0, 0.0, 0.0027329548348076762, 0.8316661028868658, 31.011277641002582, 0.0, 1230.2594560185187, 2, 6, 10.317849228347077,[2]
